카테고리: 모든 카테고리
"fold ultra: (25. 7. 27.~26. 7. 27., 미국)"

TOP
삼성 갤럭시 폴드,100
삼성,65
삼성전자,64
삼성 갤럭시,57
삼성 갤럭시 Z 폴드 7,50
삼성 갤럭시 Z 시리즈,34
Samsung Galaxy S25 Ultra 12gb/512gb 6.9 SM-S938BZ,30
휴대 전화,22
아이폰,21
삼성 갤럭시 S25,11
Samsung Galaxy S24 Ultra,10
삼성 갤럭시 S24,9
구글 픽셀,9
카메라,8
삼성 갤럭시 Z 폴드 6,8
삼성 갤럭시 S23,7
갤럭시 S26 울트라 자급제 핑크 골드 256GB,6
컴퓨터 모니터,6
레이저,5
Samsung Galaxy S23 Ultra 12gb/1tb 6.8 Dual Sim,5
삼성 갤럭시 Z 폴드 5,5
모토로라 모빌리티,4
삼성 갤럭시 S26,4
삼성 갤럭시 Z 폴드 7,3
아이폰 17 프로,3

RISING
갤럭시 S26 울트라 자급제 핑크 골드 256GB,급등
삼성 갤럭시 S26,급등
삼성 갤럭시 Z 폴드 7,급등
아이폰 17 프로,급등
Pixel 10 Pro Fold,급등
아이폰 17,급등
Samsung Galaxy Tab S8 Ultra 5g 14.6 태블릿,급등
wide,급등
삼성 갤럭시 S26,급등
Samsung Galaxy S25 Edge 12gb/512gb 6.7,급등
Motorola Razr Ultra 2025 Unlocked Made for US 16/512gb,급등
모토로라 모빌리티,"+3,200%"
삼성 갤럭시 Z 폴드 7,"+1,200%"
침대보,"+1,200%"
Samsung Galaxy S22 Ultra 5g 12gb 6.8 Dual Sim,"+1,000%"
픽셀 10,+900%
삼성 갤럭시 S25,+70%
레이저,+50%

